,Company,Description,JobTitle,JobUrl,Location,Salary,Summary
630,REC Engineering Company Limited,"Assistant Engineer (Ref no.AE)
Responsibilities:

Tender estimation;
Preparation of installation program, shop drawings, progress report and submitting payment applications;
Purchase of equipment/materials;
Responsible for site coordination and supervision of sub-contractors and attending site meetings etc.


Requirements:

Degree in Building Services/ Electrical/ Mechanical Engineering or related discipline;
Proficient in AutoCAD, MS Office and MS Project;
Good command of both spoken and written English and Chinese;
Good communication skills with positive attitude;
Proactive and work independently;
Freah Graduates are welcome
Attractive remuneration package will be offered to the successful candidates.
Please apply, in strict confidence, with full resume stating the reference code and your current and expected salary and e-mail to hr@rec-eng.com (Personal data provided by applicants will be used strictly for recruitment purpose only.)",Assistant Engineer,https://hk.indeed.com/rc/clk?jk=f35631fa796462b2&fccid=a2ce1d0aceafcb24&vjs=3,"Kwai Chung, New Territories",,"Please apply, in strict confidence, with full resume stating the reference code and your current and expected salary and e-mail to hr@rec-eng.com (Personal data…"
631,City Professional Management Limited,"Job Responsibilities
Conduct business research and market analysis to raise business opportunities in line with company's growing strategy
Establish good rapport with business partners and clients to sustain business growth
Assist in business tendering and commercial negotiations
Maintain effective communications with clients, answer enquiries and handle complaints
Assist in other ad-hoc projects as required

Job Requirements
Bachelor Degree in Business Administration, Marketing or related disciplines
1-2 years experience in sales or business development is preferable but not a must. Fresh graduate with great potential is also welcome
Proficiency in graphic design is definitely a plus
Good command of both spoken and written Chinese and English
Good at numbers with strong business acumen and analytical mindset
Independent, detail-minded, result driven, good communication and presentation skills

We offer
Conditionally 5 days work
Convenient working location (near Mei Foo MTR station)
Performance Bonus
Good medical scheme
Great opportunity to join a market leader with career growth

Interested parties, please send your full resume with present and expected salary to the Human Resources Manager at 10/F, 9 Po Lun Street, Lai Chi Kok, Kowloon, Hong Kong or click hr@cityservicesgroup.com for interview.
For more details of our company, please visit our website: http://www.cpml.com.hk
(Personal data collected would be used for recruitment purpose only)
Summary
Industry:
Real Estate / Property Management
Job Category / Function:
Marketing / Public Relations (Brand / Product Management)
Marketing / Public Relations (Marketing - General / Support)
Property / Estate Management / Security (Property / Estate Management)
Property / Estate Management / Security (Others)
Sales (Business Development)
Job Position Level:
General
Employment Term:
Full Time
Min. Edu. Level Req:
Bachelor
Total Working Exp:
1-2
Salary(HKD):
-
Location:
Sham Shui Po District / Lai Chi Kok
Benefits:
Five-Day Work
 Medical Insurance
 Performance Bonus",Business Development Representative,https://hk.indeed.com/rc/clk?jk=8ced0db769ee5c76&fccid=22ec8bbd9aa0ed28&vjs=3,"Lai Chi Kok, Kowloon",,"(Personal data collected would be used for recruitment purpose only).
Conduct business research and market analysis to raise business opportunities in line with…"
632,Zurich,"2000056L


Your role
As an Intern, your main responsibilities will involve
Support on initiatives or projects in different HR functions including Recruitment, Compensation & Benefits, and/or Performance Management & Rewards
Assist in developing innovative staff communications including written and visual communications in an accurate and timely manner
Provide statistical analysis and initiate report automation with employee data, performing data mapping, support in designing automation processes and reports
Support the development of our HR webpage and portal
Write/collate basic policy documents under the guidance of the manager and team members
Grasp basic understanding and support various HR perspectives including Recruitment, Compensation & Benefits, and/or Performance Management & Rewards
Support daily operations of HR Department


Your Skills and Experience
As an Intern, your skills and qualifications will ideally include:
University students of any discipline preferably from a quantitative discipline, e.g., statistics, operations research, informatics, computer science, mathematics, etc.
Good communication skills with high proficient in spoken and written English and Chinese, fluency in Cantonese is required
Good proficiency in MS office products, knowledge in Data Analysis / Modelling / Advanced Analytics an added advantage
A fast learner to learn new technology and savvy with various social media platforms
Ability to think out of the box for creative solutions
Customer focus with “can-do” attitude
Detail-minded
Self-motivated, with good sense of responsibility and integrity
Both part-time (at least 2 full days per week) and full-time internship can be considered. Interested candidate please state your work availability after summer on the CV

Additional Information
Primary work location is Hong Kong. You can apply by clicking on the button “Apply online”
Who we are
Looking for a career that will excite, challenge and inspire you? Thinking about insurance? Perhaps you should. Working for us is a totally different experience to what you probably expect. How do you feel about the things you truly love? Don’t you want to protect them in the best way possible? Imagine if you could help people do this all over the world. You’d give them confidence and reassurance by protecting what they love most. This is no easy task. In today’s interconnected world, tackling risk is fast, unpredictable and invigorating. You’ll have to think on your feet as you manage risks big and small, from flooding to cyber crime. You’ll be tackling issues like these in over 170 countries. It’s a big challenge, but you’ll have a truly diverse network helping you. As part of an international team, every day would provide opportunities to learn, grow and share ideas.
As you make an impact across borders, you’ll feel the support of being part of a strong and stable company. A long-standing player in the insurance industry, we make every effort to address the career development needs and plans of our employees to ensure their success in the future.
So make a difference. Be challenged. Be inspired. Be supported, Love what you do. Work for us.

Zurich Insurance has the policy to be an equal opportunity employer. We aim to attract and retain the best qualified individuals available, without regard to criteria such as race/ethnicity, national origin, religion, gender, sexual orientation, age or disability.

At Zurich we believe that having a culture of inclusion is essential in delivering good results. Attracting, retaining and developing a diverse workforce where employees feel valued, respected and empowered allows people to reach their full potential. As a business this diversity helps us to better reflect and understand our 4 million customers’ needs to allow us to drive better outcomes. As a global organisation, with an increasingly agile workforce, we're happy to consider flexible working arrangements.

Primary Location Hong Kong

Schedule Part-time

Travel No

Job Posting 09/01/20

Unposting Date Ongoing",HR Intern,https://hk.indeed.com/rc/clk?jk=2a0165caf9533478&fccid=34938366d45106af&vjs=3,Hong Kong,,"Provide statistical analysis and initiate report automation with employee data, performing data mapping, support in designing automation processes and reports."
633,Crypto.com (HK),"We are currently looking to hire a SEO ASO Specialist to join our team in Hong Kong.
What you will be doing
Perform ongoing research, expansion and optimization for both web and apps
Assist in on-page and off-page strategies to help improve the brands overall visibility on search engines and app stores
Help to analyze data from Google Analytics, Google Search Console, App Stores and other tools to spot any actionable insights to help the business growth
Conduct competitor analysis to spot any gaps on highly valuable backlinks, keywords and topics cluster where we can leverage
Keep abreast with the latest SEO and ASO trends from the industry to stay ahead on the competition
Participate in any coming projects and assist for it to make the projects go smooth
About you
A university degree in Digital Media, Communications, or related disciplines will be a plus
1-2 years of working experience in SEO or ASO will be preferred
Basic understanding of Google SEO and ASO with some knowledge and experience on using tools included but not limited to Google Search Console, GA, Screaming Frog, SEMrush, Ahrefs, AppTweak, Sensor Tower, App Annie and etc
Good verbal and written communication skills in English and Cantonese
Self-motivated, independent and a strong team player
Pay extreme attention to detail and can work well in fast-paced environments
Adaptable and thrive in changing environments
Passionate about learning new technology especially for blockchain and cryptocurrency
Mentorship will be provided by team lead and manager
What we offer
We offer an attractive compensation package working in a cutting-edge field of Fintech.
Huge responsibilities from Day 1. Be the owner of your own learning curve. The possibilities are limitless and depend on you
You get to work in a very dynamic environment and be part of an international team
You will get to have involvement in developing a brand new product from scratch alongside with a talented team
Additional Information
Job Level: Mid
Experience Level: EntryLevel
Job Category: SEO
Related Specialization: SEO
Specializations: SEO, Digital Marketing
Tags:
Company
Crypto.com was founded in 2016 on a simple belief: it's a basic human right for everyone to control their money, data, and identity. With over 2 million users on its platform today, Crypto.com provides a powerful alternative to traditional financial services, turning its vision of cryptocurrency in every wallet into reality, one customer at a time. Crypto.com is built on a solid foundation of security, privacy and compliance and is the first cryptocurrency company in the world to have CCSS Level 3, ISO27001:2013 and PCI:DSS 3.2.1, Level 1 compliance. Crypto.com is headquartered in Hong Kong with a 300+ strong team.",SEO ASO Specialist,https://hk.indeed.com/rc/clk?jk=63bd54fc94522afd&fccid=107b12c41f8cc4e5&vjs=3,"Sai Wan, Hong Kong Island",,"It's a basic human right for everyone to control their money, data, and identity.
Conduct competitor analysis to spot any gaps on highly valuable backlinks,…"
634,Hong Kong Science and Technology Parks Corporation,"HKSTP Ventures is a sovereign venture capital fund under Hong Kong Science and Technology Parks Corporation which is a statutory body under Hong Kong government with the mission of building the technology start-up ecosystem in Greater Bay Area, China
Responsibilities:

Conduct financial modeling, valuation and return analysis
Assist in research, due diligence and other associated tasks
Assist in preparation of investment memorandums, presentations and reports
Assist in portfolio management and regular reporting for compliance purpose
Perform any other duties as assigned by supervisors and management

Requirements

University students majoring in Finance, Accounting or other related disciplines, MBA holder is an added advantage
Good team player with excellent interpersonal and communication skills
Proficient in both written and spoken English and Chinese (including Putonghua)

To apply, please send your full resume to the Human Resources & Office Administration Department, Hong Kong Science and Technology Parks Corporation, 5/F, Building 5E, 5 Science Park East Avenue, Hong Kong Science Park, N.T., Hong Kong or, by email to hr@hkstp.org on or before 21 September 2020. Please quote the reference number on the email subject/envelope and the application letter.
Personal data provided will be treated in strict confidence and used for recruitment purpose only. All personal data collected will be used strictly in accordance with employer’s personal data policies, you can access to HKSTP’s Personal Information Collection Statement at https://www.hkstp.org/hkstp_web/en/hkstp/personal-information-collection-statement-recruitment
Applicants not invited for interview within four weeks after application deadline may consider their applications unsuccessful. Personal data of unsuccessful applicants will be retained for a maximum of two years.
www.hkstp.org","PART-TIME ASSISTANT, HKSTP VENTURES",https://hk.indeed.com/rc/clk?jk=eae8a318942fa85c&fccid=14604c3368c74b69&vjs=3,Hong Kong,,"Conduct financial modeling, valuation and return analysis.
All personal data collected will be used strictly in accordance with employer’s personal data…"
635,Haven of Hope Christian Service 基督教靈實協會,"Responsibilities:

Collect business requirement, analyze, formulate and document business flows and process
Conduct business and in-house user requirement analysis
Perform feasibility study, solution design, system support and develop user manual
Create functional specifications for enhancement and new development
Develop test plan and conduct system UAT
Data analysis
Requirements:

Diploma or above in Computer Science, Information Systems, Statistics or related discipline
Fresh graduates are welcome
Experience in project management, project lifecycle and direct interaction with end user
Proficiency in SQL, Access and Excel
Knowledge of data analysis
Customer-oriented, good analytical, presentation, communication, problem solving and project management skills
Proficiency in both written and spoken English and Chinese",Assistant Business Analyst,https://hk.indeed.com/rc/clk?jk=a0a5720cbf9cd523&fccid=aa084a202ccbac9c&vjs=3,"Tseung Kwan O, New Territories",,"Conduct business and in-house user requirement analysis.
Collect business requirement, analyze, formulate and document business flows and process."
636,Dow Jones,"By selecting “Apply” above, you indicate you have read and acknowledge the Dow Jones Applicant Privacy Notice and Dow Jones Cookie Policy , including data transfers as described in the Policy.
Job Description:
Working as part of the Global Sales Operations team the role of the Operations Coordinator, Asia Pacific is to provide or assist in providing sales support, analysis, sales performance metrics observations & recommendations, leadership of the business planning processes as well as adoption of the sales workflow for an assigned sales region. The role provides a focus to the sales region or specialized sales groups whilst also working across the global sales organization offering best practice sharing and ownership of central tasks.
This role requires a dedicated focus on sales Process, Analysis, Strategy, Communication and Partnership. The role demands an exceptional understanding of all selling roles and an ability to translate the above core focus areas into various selling practices. The success of this role will ultimately be judged based on increased productivity of the sales group and its management through the reduction of burdensome administrative tasks that reduce valuable selling time as well as enhance or provide clarity in the value of reports and strategies that are available to sales staff. In addition, this role will provide exceptional focus on finance related tasks that insure accuracy for the sales group as well as the finance group.
Responsibilities
Working directly with clients to resolve ongoing account issues such as change requests and invoicing questions
Working with the APAC sales team to assist with account usage, billing or other data analysis
Submit Sales Orders/Jira Tickets/Maintenance Cases
Locate contracts/ send invoice per Sales and/or Customer’s request
Initiate product trials for new/additional users from Dow Jones, and third party vendors
Act as liaison for new and existing customers through follow-up to ensure correct service levels and rates are applied
Qualifications
University graduate with fluency in English
High level of initiative and self-motivation. Attention to detail and strong communication skills
Proven ability to work well within a team environment while accomplishing individual tasks
Strong proficiency with Microsoft applications
Strong interpersonal skills
Administrative support experience preferred
If this position matches your experience, skills and motivations please submit your CV and a covering letter detailing why you feel you are suitable for the role.
Please note that only candidates requested for interview will be contacted.
Dow Jones , Making Careers Newsworthy
All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, protected veteran status, or disability status. EEO/AA/M/F/Disabled/Vets .
Dow Jones is committed to providing reasonable accommodation for qualified individuals with disabilities, in our job application and/or interview process. If you need assistance or accommodation in completing your application, due to a disability, please reach out to us at TalentResourceTeam@dowjones.com . Please put “Reasonable Accommodation"" in the subject line.
Business Area: PIB - SALES
Job Category: Sales Ops/Planning/Support Group
About Us
Since 1882, Dow Jones has been finding new ways to bring information to the world’s top business entities. Beginning as a niche news agency in an obscure Wall Street basement, Dow Jones has grown to be a worldwide news and information powerhouse, with prestigious brands including The Wall Street Journal, Dow Jones Newswires, Factiva, Barron’s, MarketWatch and Financial News.
This longevity and success is due to a relentless pursuit of accuracy, depth and innovation, enhanced by the wisdom of past experience and a solid grasp on the future ahead. More than its individual brands, Dow Jones is a modern gateway to intelligence, with innovative technology, advanced data feeds, integrated solutions, expert research, award-winning journalism and customizable apps and delivery systems to bring the information that matters most to customers, when and where they need it, every day.
If you are a current employee at Dow Jones, do not apply here. Please go to the Career section on your Workday homepage and view ""Find Jobs - Dow Jones."" Thank you.
Req ID: 21737",Regional Sales Coordinator,https://hk.indeed.com/rc/clk?jk=ff1719cccbb5f9df&fccid=d2621f51dde471d3&vjs=3,Hong Kong,,"Working with the APAC sales team to assist with account usage, billing or other data analysis.
This role requires a dedicated focus on sales Process, Analysis,…"
637,Triangle Motors Limited,"TRIANGLE MOTORS LIMITED , a member of Dah Chong Hong Holdings, has been the authorized distributor of ISUZU vehicles in Hong Kong and Macao since 1973. We would like to invite high caliber to join us.
Responsibilities
Assist BDD team to explore new business opportunities
Support salesmen daily sales operations
Documentary support to ISUZU HK operations for meeting with Principal
Support product and material training for salesman
Support tender preparation for fleet customer
Coordinate with Service Centers/Technical Department for outstanding repairing cases/customer complaints
Coordinate with partners, e.g. body builders / accessories dealers to follow up customers orders
Requirements
Bachelor's Degree in any engineering discipline
Preferably 1-2 years’ relevant working experience
Good command in both written and spoken English and Chinese (including Putonghua)
Good presentation and communication skills
Attentive to details, efficient, reliable and able to work under pressure
Work Location: Mong Kok
Attractive salary package and fringe benefits will be offered to the successful candidate. Interested parties please send your resume stating reference number and expected salary to Human Resources Manager by email to clementfong@motorhk.dch.com.hk, whatsapp to 9318 2638 or fax to 2798 9562.
We are an equal opportunities employer. Personal data collected will be treated in strict confidence and used for recruitment purposes only. All applications may be considered for other suitable positions with DCH Group / CITIC Pacific Group and the personal data collected will be deleted from our files after 6 months from the date of application.",Sales Engineer,https://hk.indeed.com/rc/clk?jk=c6f4c9d9ec4096e2&fccid=195fbc68ebaa0c0a&vjs=3,Hong Kong,,"Personal data collected will be treated in strict confidence and used for recruitment purposes only.
All applications may be considered for other suitable…"
638,BuroHappold Engineering,"Buro Happold is an international engineering consultancy operating in 21 locations worldwide, with 60 partners and over 1900 employees, including some of the world’s leading consulting engineers. For over 40 years we’ve been building our reputation for delivering creative, value led building and city solutions for an ever-changing world.


With a world class reputation, our creativity and our people have delivered positive change to clients, the environment, and communities alike. We have collaborated with global organisations such as the United Nations, The World Bank and UNESCO. Through our global community of driven, world leading engineering professionals we deliver elegant solutions for buildings and cities that seek to address the major problems facing societies today.

Type of contract
Permanent
Grade
Senior
Area of Expertise
Business Support
Region
Middle East, India and Asia
Office / Project Location
Hong Kong
Ref No
4315


The GIS specialist will work closely within functional teams to deliver GIS data and GIS services to our projects, and assist in developing, updating, analysing, and managing GIS data for a wide variety of professional services. It will also assist in a variety GIS analysis, GIS data development, GIS data maintenance and data preparation for use in public safety GIS systems and regularly communicate project status to our customers.


Responsibilities include assisting with:


GIS, data, and mapping for the Engineering, and Surveying departments while supporting both internal and external project teams.
Producing technical specifications, project approach, cost estimates and schedules.
GIS mapping and data collection tasks.
Digital feature extraction from multiple data sources.
The projections and transformations for project deliverables.
GIS system needs and requirements to implement improved work methods.
The creation and updating of new and existing GIS maps and map layers and GPS data edition and representation using ArcGIS in support of field surveys.
GPS data collection and post-processing for high accuracy data specifications.
GIS metadata creation.
Land survey records search, ownership data research from various sources.
Georeferenced Raster and Vector data.


Qualifications & Experience


Bachelor or higher degree in Geomatics engineering, GIS, geography, environmental science, or closely related natural science field, with master's degree in similar field a plus.
Experience working in the ArcGIS/Qgis desktop environment is required (ArcGIS Desktop 10.0 or higher a plus).
Advance GIS skills, including data analysis abilities.
Skills in FME or shows a willingness to learn
Excellent written and verbal communication skills.
Strong analytical and problem solving skills.
Prior GPS and applicable natural science field experience a plus
Fluent in Mandarin, Cantonese and English.


This role is at the forefront of supporting our technical and consulting teams deliver solutions to some of the most complex engineering challenges associated with Cities and Buildings across the globe. Whether it is helping shape entire cities to adapting infrastructure to deal with the climate emergency it is the chance to be part of something bigger.


Buro Happold is proud to be a practice of a diverse range of professionals that reflects the countries in which we operate. In order to truly benefit from this diversity we must create an environment in which employees feel they can be themselves. Buro Happold actively promotes inclusivity across the practice to enable every individual to reach their full potential, feeling included is good for all of us. This begins with a fair and inclusive recruitment process which focuses on your skills, competencies and experiences in relation to the role. We understand that through collaboration, diverse people with different experiences develop the most innovative and elegant solutions.",Geographic Information Systems (GIS) Specialist,https://hk.indeed.com/rc/clk?jk=2483f2f269f09b36&fccid=4356d89a17a86533&vjs=3,Hong Kong,,"Advance GIS skills, including data analysis abilities.
GPS data collection and post-processing for high accuracy data specifications."
639,Carbonbase (HK),"We are looking for an engineer with 3+ years of experience in back-end Web development, and a passion to join us on our mission to end the climate crisis. You will be building features end-to-end, contributing ideas to new products and features and then build the full range of code to implement them. This is primarily a full-time position, but part-time can also be negotiated case by case.
What you will be doing in this role:
Work with a decentralized development teams and product managers to ideate software
solutions
Developing new user-facing features using React.js
Translating designs and wireframes into high-quality code
Optimizing components for maximum performance across a vast array of web-capable
devices and browsers
Test software to ensure responsiveness and efficiency
Troubleshoot, debug and upgrade software
Write technical documentation
About you:
Self-motivated and entrepreneurial, ability to work in a fast pace environment
Proven experience (3 years +) as a Backend Stack Developer or similar role and experience *(fresh graduates and student applicants are exempt for working experience)
Knowledge of multiple back-end languages and JavaScript frameworks (e.g. React, Node.js)
Thorough understanding of React.js and its core principles
Knowledge of modern authorization mechanisms, such as JSON Web Token
Familiarity with code versioning tools (such as Git, Gitlab)
Familiarity with cloud platform (AWS)
Degree in Computer Science, Statistics or relevant field
Excellent communications in English and teamwork skills
Great attention to detail
Value Add:
Knowledge of multiple front-end languages and libraries (e.g. HTML/ CSS, JavaScript,
jQuery)
Have experience or interested in Blockchain, knowledge about ethereum wallet/exchange
development
Good language skills in Chinese (Cantonese or Mandarin)
Tech specifics:
Backend: Node.JS
Library: Redux, Docker, Postgres, AWS services (Cognito)
Additional Information
Job Level: Mid
Experience Level: Mid Level
Job Category: Software Engineering
Related Specialization: Backend
Specializations: Software Engineering, Backend
Tags: NodeJS, Redux, Docker, Postgres, AWS, 3+ Years of Experience
Company
Carbonbase wants to create the easiest way that individuals and corporates can use to take effective actions for Climate Change. We are building data analysis and blockchain-backed tools to allow users to calculate their carbon footprint, diagnosis emission pattern, offset by purchasing carbon credits. Carbonbase will commit the purchase patterns to the blockchain for transparency and record-keeping.",Backend Engineer,https://hk.indeed.com/rc/clk?jk=8ed920cbc40866b7&fccid=c381b183cb2d7fc9&vjs=3,"Pok Fu Lam, Hong Kong Island",,"We are building data analysis and blockchain-backed tools to allow users to calculate their carbon footprint, diagnosis emission pattern, offset by purchasing…"
640,Shun Hing Engineering Contracting Co Ltd,"Responsibilities


Responsible for the project works progress of Extra Low Voltage systems (CCTV/ Burglar Alarm/ Security/ Access Control/ Doorphone/ SMATV/ CABD/ PA/Patrol Monitoring etc.), co-ordination with relevant parties, sub-contractors supervision, site progress monitoring, materials sourcing and cost comparison for tendering works.

Requirements


Degree / Higher Diploma / Higher Certificate holder in Electronic Engineering.

Minimum 4-5 years’ relevant working experience, candidate with less experience will be considered as Assistant Engineer.

Mature and possess good communication skills.

Self-motivated, Initiative and working independently.

Good command of written and spoken English and Chinese.

Proficient in MS Office and Autocad.

Holder of Security Personnel Permit (Category D) will be an advantage.

Registered Electrical Worker will be an advantage;


IELTS Score 6.5 or above preferable.



Please send your full resume, with present and expected salary by one of the following methods:



By Post
16/F., Shun Hing Centre, 2 Shing Yiu Street, Kwai Chung, N.T.









By Email
sheconhr@shunhinggroup.com











By Fax
24096082














Data collected will be used for recruitment purpose only. It may be transferred to other companies of the Group to see if suitable vacancies arise. Applicants not contacted within 6 weeks may consider their application unsuccessful. The information will be destroyed.",Engineer / Assistant Engineer,https://hk.indeed.com/rc/clk?jk=f50f35374a792350&fccid=70f4d551a95be9ea&vjs=3,Hong Kong,,"Data collected will be used for recruitment purpose only.
Minimum 4-5 years’ relevant working experience, candidate with less experience will be considered as…"
641,Clover Health (HK),"We are looking for a Principal Salesforce Engineer to join our team. In this role you would lead our team in the development of Salesforce technical architecture and designs to be used across Clover. As a senior engineer, you will be a strong technical voice to build foundational architecture, best practices, business systems, process flows and user requirements.
What you will be doing in this role
Be responsible for the building and adoption of Salesforce architect in our existing technologies
Assist with the development of data integration strategies; completes data manipulation, cleaning and importing/exporting
Be a champion for technical best practices, as well as overall strategy for Salesforce development team
Executes production rollout strategy and support for users
Working closely with cross-functional partners (Data, Product, Operations, Executives), architect a significant portion of our Salesforce platforms
About you
You are familiar with Salesforce tech stack e.g. Apex, Lightning, VisualForce
You have experience with functional or imperative programming languages e.g., Python, Ruby, Go, C, or Java.
You approach building and maintaining systems with maturity and rigor.
You have scaled the impact of other engineers through mentorship, development of reusable libraries, and documentation.
You are able to work in different technical systems and concerns.
You have lead development projects, but have also value created space and opportunity for other people to become leaders.
You have both built and refactored complex (often distributed) systems.

You Will Love This Job If
You are excited by big, complicated problems and are comfortable working in and being part of defining nascent environments (technical and team). You have a natural intellectual curiosity and value diving into them through a collaborative approach
You care about quality but also have a pragmatic approach to software that prioritizes delivering value continuously. You understand there is a time and place for optimizing for shipping throughput vs. optimizing for robustness that survives gnarly edge cases
You are not hesitant to jump in to help fix things that are broken and you feel a great responsibility to make sustainable systems. You are happy to fill in the gaps to reach a goal where necessary, even if it does not always fit your job description
You have a genuine interest in what good technology can do to help people and have a positive attitude about tackling hard problems in an important industry
Pursuant to the San Francisco Fair Chance Ordinance, we will consider for employment qualified applicants with arrest and conviction records. We are an E-Verify company.
What we offer
A great team to work together to build something amazing, and to make true impact to this society
A great platform to allow you to work with latest technology and tools
A great company culture, good engineering practice, and knowledge sharing is what we value here
Competitive package, with flexible working location and hours
Additional Information
Job Level: Mid
Experience Level: Mid Level
Job Category: Software Engineering
Related Specialization: Software Engineering
Specializations: Software Engineering
Tags: Python, Ruby, Go
Company
About Clover: We are reinventing health insurance by combining the power of data with human empathy to keep our members healthier. We believe the healthcare system is broken, so we've created custom software and analytics to empower our clinical staff to intervene and provide personalized care to the people who need it most.",Principal Salesforce Engineer,https://hk.indeed.com/rc/clk?jk=3a46076bcff47d4d&fccid=c2f2d20b16cf6d53&vjs=3,"Kennedy Town, Hong Kong Island",,"Completes data manipulation, cleaning and importing/exporting.
Assist with the development of data integration strategies;
What you will be doing in this role."
642,9gag,"Mobile Engineer, iOS
Hong Kong
We're looking for a talented iOS Engineers to help build a best-in-class App that transforms how millions of people discover and collect inspiration everyday. You should have experience building beautiful high-performance Mobile App independently.
As a member of the 9GAG engineer team you will have the opportunity to tackle the technical challenges of truly big scale products. The successful candidates must consistently deliver high quality Mobile Apps, understand the Internet / Mobile trend, have good communications skills and problem-solving skills. You would enjoy the excitement working in a fast-paced start-up environment.
Building 9GAG’s reusable mobile infrastructure is an enormous challenge. You’ll have to balance the need to move fast today while continuing to build for tomorrow. You understand the trade-offs between different open source technologies and aren’t afraid to build it yourself if needed.

Responsibilities
Working closely with the product team to build stunning products and implement new features from scratch.
Writing clean, maintainable code while rapidly iterating and shipping
Ensure the performance, quality, and responsiveness of applications
Finding simple and elegant ways to solve problems.
Improving our apps to make the world happier!
Requirements
Relevant degree and 2+ years in native iOS applications development.
Familiar with Object-oriented design & development, data structures, algorithm design, problem solving, multi-threading, and complexity analysis.
Advanced in Objective-C, Swift and Xcode and experience with iOS frameworks such as Core Data, Core Animation, etc.
Experience with offline storage, threading, performance tuning and automation test
Sound knowledge in general mobile landscape, modern MVP / MVVM framework and RESTful APIs
Experience with unit testing and instrumented testing libraries.
Eager to learn new technologies, trends and find new ways to solve problems.
Eager to work in a fast paced startup environment and ship products that are as beautifully built as they are designed.
Passion for delivering great user experience
Friendly, approachable and hardworking attitude.
No haters.
Desire
Contributions to open source projects.
Experience with Reactive programming and relational / object database libraries.
Knowledge of the iOS SDK performance tools and optimization techniques.
Active user of 9GAG.","Mobile Engineer, iOS",https://hk.indeed.com/rc/clk?jk=ab918feb09711abe&fccid=0b9284bd9d86290b&vjs=3,Hong Kong,,"Familiar with Object-oriented design & development, data structures, algorithm design, problem solving, multi-threading, and complexity analysis."
643,Tech Hill,"Reference #: TH/ENG/CVR/2019002

Job Description:

Develop and prepare next generation polymer-based, silicon-based and molding process;
Collaborating with other research staff on R&D work;

Requirements:

Bachelor or Master or PhD degrees in Polymer Science, Polymer Physics, Material Science, or related disciplines, Fresh graduate is welcome.
Solid knowledge in polymer and silicon;
Knowledge and extensive experience in polymer/silicon processing and engineering (e.g. extrusion, injection molding) is an advantage;
Wholehearted application to work with high motivation;
Work independently and able to communicate in teamwork;
Positive, analytical, critical thinking and good troubleshooting skill;
Have a sense of ownership for his/her work;
Willing to work under pressure; and
Good command of English and Chinese, articulate report writing / presentation skills as well as abilities in literature/patent search.


Benefits

Five-day work week, Medical insurance, Performance bonus


Interested candidates should send application (quoting Reference. No.) with detailed resume and, current and expected salary to career@techhillltd.com. Application open until this position is filled.

Only short-listed candidates will be notified. Personal data provided by applicants will be used for consideration of an application only. Tech Hill Limited reserves the right not to fill the position.","Engineer , Polymers & Silicon based Mater",https://hk.indeed.com/rc/clk?jk=bc566441f2da5470&fccid=6c38301e5b6549d6&vjs=3,"Sha Tin, New Territories",,"Personal data provided by applicants will be used for consideration of an application only.
Develop and prepare next generation polymer-based, silicon-based and…"
644,Michael Page HK,"Designs, develops and programs methods, processes and systems to consolidate and analyze unstructured diverse data sources to generate actionable insights and solutions.
Develops and codes software programs, algorithms and automated processes to cleanse, integrate and evaluate large datasets from multiple disparate sources.
Interacts with business customers to identify questions and issues for data analysis and experiments.
Identifies meaningful insights from large data and metadata sources.
Interprets and communicates insights and findings from analysis and experiments.

Stratgic role with global exposure

Promosing career path, good work life balance

Theoretical and applied principles of statistical analysis, machine learning, data mining, and other research methodologies
Experience using statistical computer languages (R, Python, SLQ, etc.) to manipulate data and draw insights from large data sets
Coding knowledge and experience with several languages (C, C++, Java etc.)
Approaches, tools and techniques that promote the ability to transcend traditional ideas, rules, patterns and relationships to create meaningful new ideas, forms, methods and interpretations in a variety of business situations
Integrating data from disparate structured and unstructured sources for querying and mining relevant information
Designing and developing research experiments
Identifying and anticipating problems, reviewing related information, developing and evaluating options, making decisions and implementing solutions
Effectively communicating and presenting complex technical data (both verbally and written) to influence all levels and global audiences
Interacting with/leading cross-functional teams to achieve defined objectives through consulting and positive interaction with culturally diverse team members, external partners and clients
Planning, organizing, monitoring and controlling projects; ensuring efficient utilization of technical resources and appropriate mitigation of risk to achieve project objectives
Continuously seeking and sharing new developments, advancements and knowledge in relevant fields
Successful approaches, tools, and techniques for dealing with changes and adapting to a changing environment; adapting as needed to meet the requirements of the business

Our Client is a famous global Consumer Goods Company, focusing on Healthcare, food product covering 50+ product lines, with 20billion RMB business annual revenue. Currently this company is setting up their own E-Commerce platform with 2C digital product.

Great company culture and promising career path

Global job exposure and work closely together with the business and the management team

Designs, develops and programs methods, processes and systems to consolidate and analyze unstructured diverse data sources to generate actionable insights and solutions.",Principal Data Scientist - Global consumer goods brand - well established company,https://hk.indeed.com/rc/clk?jk=863b4e867bf64a9e&fccid=77087bd1709a8148&vjs=3,Hong Kong,,"To manipulate data and draw insights from large data sets.
Interacts with business customers to identify questions and issues for data analysis and experiments."
